vibe::percussive,vibe::raw,vibe::euphoric,vibe::vocal,vibe::intense,vibe::piano,mood_top,genre_pred,energy_rms,engagement,track_id,vibe::dreamy,vibe::minimal,vibe::instrumental,vibe::driving,vibe::dark,vibe::deep,vibe::warm,vibe::hypnotic,vibe::punchy,vibe::atmospheric
0.466,-0.5745,-0.4631,0.0888,-0.3133,,percussive / vocal / punchy,percussive,-0.12898,-0.82157,157023290,,,,,,,,,-0.0282,
-0.2984,-0.3073,,-0.2776,,,vocal / percussive / raw,vocal,-1.23388,-1.37387,214705963,,-0.6265,-0.419,,,-0.8154,,,,
0.5253,-0.0764,,0.3427,0.3273,,percussive / vocal / intense,percussive,0.11643,-0.87211,223587183,,,,,,,,,0.1598,-0.2706
0.7956,-0.0436,0.0219,,-0.0864,,percussive / dark / punchy,percussive,0.2317,-0.73678,222156954,,,,,0.4612,,,,0.368,
0.9926,,-0.4818,,,-0.647,percussive / punchy / dark,percussive,-0.05949,-0.97451,129335396,,,,,-0.0225,,-0.4445,,0.6903,
1.3519,2.1026,,,,,raw / punchy / minimal,raw,1.49128,0.776,73952685,,1.6173,,1.3565,,,,1.5978,2.0773,
,,,1.08,1.1807,,atmospheric / hypnotic / intense,atmospheric,0.72249,0.91445,154156195,1.1513,,,,,1.1788,,1.2356,,1.2669
3.9943,-0.1598,0.706,,-0.0529,,percussive / euphoric / intense,percussive,0.63308,-0.24788,73753927,,,,,,,-0.15,,-0.1457,
,0.7817,,1.1041,0.7653,,vocal / driving / instrumental,vocal,0.55228,0.34865,243514476,,,0.796,1.0518,,,,,,0.7635
1.8056,-1.4757,-0.7365,-1.2521,-1.5676,-1.5881,percussive / euphoric / vocal,percussive,-1.06941,-1.66933,119199249,,,,,,,,,,
0.6967,,,,,,percussive / punchy / hypnotic,percussive,-0.77872,-0.9913,114523829,-0.8643,-0.8526,,,,,-0.8872,-0.8378,-0.8133,
0.8081,-0.209,0.1705,0.0204,0.2327,,percussive / intense / euphoric,percussive,0.04638,-0.43295,161178518,,,,,,,,,-0.0152,
,,1.6245,,1.3491,1.2774,hypnotic / warm / euphoric,hypnotic,0.69388,1.18152,166183156,,,,,0.8377,,1.6472,1.7086,,
0.5609,,,1.1489,,0.4195,vocal / dreamy / percussive,vocal,0.20847,0.41132,92148460,0.7979,,,,,,,0.3627,,0.403
,1.0729,0.8132,1.0501,0.7779,,raw / vocal / euphoric,raw,0.35604,0.34622,2280598,,,,,0.7614,0.7218,,,,
1.2011,,1.3296,,0.8796,,euphoric / warm / percussive,euphoric,0.73943,0.96044,216831915,,,,,0.771,,1.3197,0.9386,,
,0.9888,0.3741,1.3352,0.5391,,vocal / raw / driving,vocal,0.41077,0.23794,168069709,,,,0.6498,0.4375,,,,,
0.5524,,0.8945,,0.553,,euphoric / warm / intense,euphoric,0.49308,0.39552,156815106,,,,,0.5409,,0.5544,,0.4853,
,,,,,1.6592,minimal / instrumental / piano,minimal,0.56514,0.45369,204551954,,1.8635,1.7457,1.2576,,,,,1.1958,1.1993
0.7844,1.1426,,2.0595,0.46,,vocal / instrumental / raw,vocal,0.23088,0.20139,204519751,,0.5686,1.1858,,,,,,,
,,,0.5999,,,instrumental / minimal / dreamy,instrumental,-0.07456,0.29792,199861867,1.133,1.309,1.3382,,,1.0015,,0.6225,,
1.0935,0.3809,-0.1485,0.6555,0.3244,,percussive / vocal / raw,percussive,0.29555,-0.35835,112739257,,,,-0.0203,,,,,,
0.2153,,0.0041,,0.3778,,punchy / intense / percussive,punchy,0.23011,-0.84549,39012923,,,,,0.168,,,-0.1532,1.2363,
,-0.0364,,0.3227,,,vocal / raw / driving,vocal,-0.37448,-0.51179,84217697,,-0.1011,-0.0894,-0.0692,-0.1697,,,,,
0.9204,,0.646,,0.4045,,punchy / percussive / euphoric,punchy,0.57752,0.05319,143904983,,,,,,,0.3185,0.442,1.2275,
,,,,-0.3469,,dark / deep / punchy,dark,-0.39241,-0.66292,90795647,,,,,0.3571,0.2991,,-0.2595,0.1867,-0.2933
-0.1955,,-0.1439,,,,warm / punchy / euphoric,warm,-0.15336,-0.08077,41875096,,,,,-0.1778,,0.3519,-0.1936,0.3459,
,,,1.8625,,,minimal / vocal / dreamy,minimal,0.85897,1.47364,118095130,1.811,2.0245,,1.6395,,,1.652,,,1.7563
,0.7894,,,,,raw / deep / dreamy,raw,-0.45936,-0.14151,206569433,0.4283,0.2033,0.0987,,,0.4422,,,0.0744,
,0.3751,-0.0297,0.4641,,,vocal / raw / euphoric,vocal,-0.33041,-0.28111,71278956,,,-0.201,-0.1157,,,-0.21,,,
-0.0937,,,,,-0.0635,punchy / hypnotic / piano,punchy,-0.28933,-0.53421,178214778,-0.0907,,,,-0.1147,,,0.2226,0.3145,
0.2349,,-1.0288,,-0.9371,,percussive / hypnotic / intense,percussive,-0.81702,-1.17458,30086504,-0.9807,,,,,,,-0.8343,-0.9388,
1.089,,,,0.8372,,punchy / percussive / intense,punchy,0.88793,-0.00041,267007171,,0.2499,0.243,,0.2376,,,,1.4356,
2.0855,0.3453,0.5957,,0.2912,,percussive / euphoric / punchy,percussive,0.6355,-0.0601,4579764,,,,,,,0.0913,,0.4699,
,1.758,,1.8512,,1.4299,vocal / raw / piano,vocal,-0.05607,0.66132,128799295,1.2465,,1.2175,,,1.3028,,,,
,1.3561,,1.431,,,deep / vocal / raw,deep,-0.06463,0.24952,224182125,,1.0424,1.2318,,1.0084,1.5164,,,,
,1.8184,,2.3457,1.0031,,vocal / raw / intense,vocal,0.43554,0.19799,80180305,0.6548,,0.9315,0.7483,,,,,,
,,,,1.307,,dark / punchy / intense,dark,0.71167,0.63164,79916936,,,,,1.5747,0.9597,0.76,1.2273,1.4988,
1.4341,-0.0098,-0.2439,,,,percussive / warm / driving,percussive,0.31794,-0.41994,115576152,,,,0.0849,,,0.2965,,0.078,
0.6648,,,-0.112,,,percussive / driving / dreamy,percussive,0.04477,-0.31554,209728627,-0.0721,,-0.2369,0.142,,,-0.2152,,,
,2.2459,1.7777,2.319,,1.5774,vocal / raw / euphoric,vocal,0.38397,1.38963,151381592,,,1.6352,,,,,1.3411,,
0.962,1.2053,0.997,0.6973,0.6957,,raw / euphoric / warm,raw,0.28643,0.72334,77487892,,,,,,,0.9936,,,
0.0574,0.1958,,1.1392,,,vocal / raw / percussive,vocal,-0.63946,-0.59152,56781785,-0.0476,-0.1041,-0.0254,,,,,,,
0.0183,-0.0809,,-0.6314,,,percussive / raw / vocal,percussive,-0.84918,-1.29713,45423917,,,,-0.7904,-0.9847,,-1.1118,,,
,,0.9674,,,,warm / hypnotic / euphoric,warm,-0.04075,0.99691,242269709,,,,,0.6103,0.6529,1.5101,1.2853,0.6516,
1.4123,-0.2535,0.006,,,,percussive / warm / euphoric,percussive,-0.17894,-0.40295,36009553,,-0.4072,,,,,0.0828,,-0.6078,
1.2757,0.6777,0.7372,0.271,0.0616,,percussive / euphoric / raw,percussive,-0.22658,-0.72275,77334678,,,,,,,,,,-0.9757
,1.6829,0.7672,1.5958,0.9241,,raw / vocal / driving,raw,0.52895,0.67819,212069772,,,,1.0895,0.8116,,,,,
0.6649,,1.1609,,1.1225,,punchy / warm / euphoric,punchy,1.02003,0.65887,263031453,,,,,0.8261,,1.1868,,1.6545,
0.8273,,0.8266,0.5435,1.1565,,intense / percussive / euphoric,intense,0.87741,0.20197,165292919,,,,0.7313,,,,,0.7945,
1.4945,0.9649,0.3988,0.1169,0.1662,,percussive / raw / euphoric,percussive,0.2667,0.02282,196067845,,,,,,,0.0853,,,
,1.8313,1.6538,2.2081,2.0294,,vocal / intense / raw,vocal,1.41944,1.49326,123683969,,,,1.7585,,,,,,1.6944
1.3453,,-1.1416,,-1.0607,,percussive / punchy / intense,percussive,-0.56568,-1.21298,38743407,,,,,,-1.1353,,,-0.7773,-1.1244
,0.4394,,1.0189,,,vocal / raw / driving,vocal,-0.2933,-0.0276,183974978,,,0.3657,0.3945,0.1326,,0.1385,,,
,0.6698,,,1.1026,0.7576,driving / intense / punchy,driving,0.80312,0.49185,156472310,,,,1.1156,,,0.7225,,1.0018,
,,,,-0.3778,,deep / dark / punchy,deep,-0.52538,-1.03408,196939298,-0.3522,,-0.3177,,0.2235,0.3163,,,0.1801,
,,1.2083,,,2.0156,piano / hypnotic / warm,piano,-0.1253,1.13757,105059692,,1.278,,,,,1.365,1.4456,,0.8482
,,,,,1.6204,dreamy / piano / atmospheric,dreamy,0.44078,1.14334,36536833,1.634,1.4472,,,,,1.4103,1.4021,,1.4979
,1.485,,1.4421,1.2552,,raw / vocal / driving,raw,0.86918,0.94014,195153413,,,1.0552,1.2789,,,,,,1.1196
1.3414,0.9857,0.5923,0.7184,0.7654,,percussive / punchy / raw,percussive,0.8743,0.02888,71814433,,,,,,,,,0.9872,
0.6219,-0.1429,0.2344,,0.3639,,punchy / percussive / intense,punchy,0.38476,-0.41476,100563969,,,,-0.1759,,,,,0.7292,
0.5865,,0.358,,-0.1585,,punchy / percussive / euphoric,punchy,0.01768,-0.80983,178081926,,,,,-0.568,,,-0.2147,0.954,
,,,0.7649,0.3378,,vocal / instrumental / punchy,vocal,0.27262,-0.33463,95548982,,,0.6034,,,,,0.2413,0.5632,0.2086
2.1715,,0.4851,0.4642,0.6373,,percussive / intense / euphoric,percussive,0.62689,-0.08182,74854413,,,,,,,,,0.1274,0.0035
1.3705,1.2951,1.5034,0.9544,1.3354,,euphoric / percussive / intense,euphoric,1.02436,-0.06907,159043123,,,,,,,,,1.0507,
,1.0599,1.5628,,1.6885,,punchy / intense / euphoric,punchy,1.26543,0.80699,225188749,,,,1.0176,1.2482,,,,1.7739,
1.8294,1.1977,1.1298,0.88,1.2082,,percussive / intense / raw,percussive,0.94564,0.33098,88435599,,,,,0.5636,,,,,
1.6936,0.9227,0.8062,,,,percussive / warm / raw,percussive,0.29729,0.39607,208944691,,,,0.164,-0.1379,,1.1833,,,
0.9568,,0.5694,,0.9043,,punchy / percussive / intense,punchy,0.91408,0.04493,250304508,,,,,0.8179,,,0.4927,1.4206,
,0.3411,,2.1329,,,vocal / dreamy / instrumental,vocal,-0.95152,0.01335,191102203,0.5475,,0.4847,,,,,0.2291,,0.2981
1.2633,0.1243,-0.2034,,,,percussive / raw / punchy,percussive,0.15902,-0.42498,233089750,,,,-0.1134,,,0.0523,,0.1163,
0.0269,-0.4326,,-0.0377,,,percussive / vocal / driving,percussive,-0.63195,-0.91642,254602569,,,,-0.3917,-0.874,,-0.7505,,,
0.6779,-0.7668,-0.9132,,,-0.9012,percussive / punchy / dark,percussive,-0.46327,-1.25906,199697545,,,,,-0.669,,,,-0.5318,
0.4275,0.3515,,,-0.2392,,percussive / driving / dark,percussive,0.08239,-0.49027,102563966,,,,0.4041,0.3648,,-0.1915,,,
0.8978,,0.7831,0.3498,0.996,,intense / punchy / percussive,intense,0.7131,-0.50034,80274059,,,,,0.7036,,,,0.9182,
,,,,1.5929,2.12,piano / driving / intense,piano,0.99426,1.23483,2038215,1.4572,,1.5716,1.7308,,,,,,1.5302
,,1.0639,0.9662,0.8438,,euphoric / warm / minimal,euphoric,0.66241,0.8709,107076314,,0.9692,,,,,1.0141,0.931,,
0.3246,0.0477,,,,-0.2541,percussive / dark / raw,percussive,-0.13168,-0.90989,183475937,,,,-0.3115,0.0756,,,,-0.0067,
,,,,,-0.033,minimal / dreamy / punchy,minimal,-0.47766,-0.38064,253294846,0.0483,0.2984,-0.1288,,,,,,-0.0235,-0.1154
,,,,,0.5886,minimal / warm / hypnotic,minimal,0.18671,0.41397,240164736,,0.9394,,,0.5546,,0.7178,0.7169,,0.55
0.6492,,,,0.1027,,percussive / dark / punchy,percussive,0.36398,-0.17332,111810686,,,,0.2815,0.5345,,,,0.4225,0.1274
1.0631,0.8034,0.8064,0.8221,1.1043,,intense / driving / percussive,intense,0.93951,0.55529,169764009,,,,1.0727,,,,,,
,-0.1673,,0.3604,,,vocal / dreamy / minimal,vocal,-1.16456,-0.55272,235591775,0.2652,0.0305,-0.022,,,,,,,-0.4148
,,,0.7807,,,vocal / minimal / instrumental,vocal,0.26613,-0.32413,207969254,,0.65,0.6281,0.5212,0.2795,,,,0.2519,
,,,,,0.8253,minimal / atmospheric / dreamy,minimal,-0.05079,0.17624,119828817,1.035,1.3818,0.8002,,,,,0.7289,,1.1422
,,,1.2099,,,vocal / dreamy / dark,vocal,0.38848,0.62409,10281957,0.937,,0.8029,0.8138,0.8657,,0.8141,,,
,,0.8382,,1.0651,,warm / dark / intense,warm,0.68025,1.04148,249344173,,,,0.9148,1.1225,,1.6332,,,1.0189
-0.3735,0.2357,,-0.3964,,-0.6871,raw / percussive / vocal,raw,-0.66875,-0.76219,220770513,,,,,,,-0.5465,,-0.466,
,,,,,,deep / punchy / instrumental,deep,-0.45498,-0.51857,253115995,,,-0.1935,,-0.269,-0.0016,,-0.1942,-0.1449,-0.2682
-0.556,,,,,,percussive / deep / punchy,percussive,-0.99102,-1.27149,204915657,,-0.7631,,,-0.7782,-0.615,,,-0.7272,-0.91
,,,,,,warm / minimal / instrumental,warm,-0.2424,-0.15939,166796315,,0.1428,0.1216,0.1012,0.0669,,0.3832,,0.1097,
,1.0862,,,1.0976,,dark / driving / warm,dark,0.9873,0.9556,247707834,,,,1.337,1.5538,,1.328,,1.2096,
,,,1.5117,,1.6696,instrumental / piano / driving,instrumental,0.8249,0.64071,257972293,1.6102,,1.7875,1.6149,,,,,,1.5208
0.2577,0.6169,0.2616,0.7862,0.7306,,vocal / intense / raw,vocal,0.10548,-0.05251,149354739,,,,0.2872,,,,,,
0.5981,,0.3405,,0.1277,,punchy / percussive / warm,punchy,0.37113,0.02852,198623605,,,,0.1576,,,0.5651,,0.6011,
2.4507,0.3892,0.9479,,,,percussive / warm / euphoric,percussive,0.42336,-0.11916,149967126,,,,-0.1287,,,1.1884,,-0.188,
1.1299,0.3203,0.0718,0.9146,0.1223,,percussive / vocal / raw,percussive,0.21294,-0.39522,155411851,,,,0.0502,,,,,,
0.6772,,0.2956,,0.2562,,percussive / punchy / euphoric,percussive,0.40979,-0.41636,57711132,,,,0.2422,-0.0115,,,,0.4636,
,0.6985,,0.4907,,,raw / vocal / dark,raw,-0.42526,-0.39555,214557507,,,-0.2672,,0.1174,-0.0105,-0.2526,,,
,,1.2408,,1.0298,,punchy / euphoric / intense,punchy,0.55988,0.1078,131343499,,,,,0.3999,,0.1958,0.4399,1.356,
1.6538,,0.2906,,-0.8055,-1.1429,percussive / euphoric / warm,percussive,-0.28628,-0.59571,167922251,,,,,,,-0.3416,,-0.8044,
0.6082,,0.8881,,0.8096,,punchy / euphoric / intense,punchy,0.88919,-0.12609,242754656,,,,0.5085,0.5816,,,,1.6304,
-0.2479,0.7546,,0.4496,,-0.2988,raw / vocal / dark,raw,-0.32177,-0.87901,136153776,,,,0.0661,0.133,,,,,
,,,,2.0664,,deep / dark / punchy,deep,1.43374,1.48291,24467495,,,,2.0757,2.1985,2.3249,1.8481,,2.1884,
,1.4526,,1.5805,,,vocal / raw / hypnotic,vocal,0.51887,0.84802,42198577,1.0104,,1.0062,,,,,1.1202,,1.0133
,1.9163,,1.019,,,raw / instrumental / minimal,raw,0.38287,0.7148,72684890,0.9667,1.3853,1.4562,,,1.3509,,,,
,,,,1.7373,,driving / dark / atmospheric,driving,1.4146,1.33498,104090890,1.6783,,,2.2493,2.001,,,1.7068,,1.9554
,1.7359,1.6538,2.8395,1.0457,1.1387,vocal / raw / euphoric,vocal,0.60396,1.19175,211166336,,,,,,,1.0653,,,
1.0252,0.3917,-0.2294,,,,percussive / warm / raw,percussive,-0.0484,-0.11929,212714240,,,,-0.1036,,,0.5442,,-0.3672,
,,,,,,deep / punchy / dark,deep,-0.31944,-0.11937,2406344,0.0321,,,,0.1748,0.3149,,0.1718,0.2788,0.1051
0.7932,,-0.3452,-0.6859,-0.5515,,percussive / punchy / euphoric,percussive,-0.10743,-0.94107,65705534,,,,-0.6796,,,,,0.0081,
1.4292,-0.4666,-0.6676,,,,percussive / punchy / raw,percussive,-0.31769,-1.03883,121361510,,-0.9283,,,,,-0.4993,,-0.2822,
1.3702,0.8805,-0.0886,0.5785,,0.283,percussive / raw / vocal,percussive,0.29868,-0.23469,158209004,,,,0.4037,,,,,,
0.1473,-0.173,,,,,punchy / percussive / minimal,punchy,0.03844,-0.41071,77061545,,0.018,-0.2428,,,,-0.1846,,0.9647,
1.9501,,0.7274,0.2482,0.615,,percussive / euphoric / intense,percussive,0.82679,0.05612,222271420,,,,0.1884,,,,,0.5537,
,,,0.7837,0.6734,,driving / warm / dark,driving,0.67446,0.52285,247002064,,,,1.3784,0.7881,,0.9458,,0.767,
,,,0.8593,,,minimal / punchy / instrumental,minimal,0.24403,0.33765,150187730,,1.1802,1.0484,,0.8407,1.0221,,,1.0705,
1.123,,0.2075,0.2258,0.3153,,percussive / warm / intense,percussive,0.35672,0.29655,140666222,,,,,,,0.5374,,,0.2577
,-0.72,,-0.6979,,,punchy / dark / deep,punchy,-0.76778,-1.23481,160513861,,,,-0.7629,-0.4221,-0.6342,,,-0.4117,
1.7253,,,,,1.426,warm / percussive / driving,warm,1.4051,1.74306,240427803,1.599,1.5315,,1.6234,,,2.4303,,,
1.6699,,1.6818,,1.5933,,euphoric / percussive / intense,euphoric,1.3749,1.01412,2682113,,,,,1.1221,,1.157,,1.2423,
,,,,,,dark / deep / atmospheric,dark,-0.37209,-0.24395,144081188,0.0349,,,0.1319,0.3685,0.3025,,0.0619,,0.1384
1.341,-0.2713,,-0.2727,,-0.9547,percussive / raw / vocal,percussive,-0.49319,-1.12981,225178428,,,-0.9701,-0.9965,,,,,,
0.676,0.3907,0.61,1.0341,-0.2169,,vocal / percussive / euphoric,vocal,-0.46844,0.04348,156696104,,,,,,,-0.1498,,,
1.1992,0.3173,,,,,percussive / deep / raw,percussive,0.06915,0.01858,155399227,,,,0.0169,0.1671,0.5035,0.1778,,,
1.5053,-0.3458,0.0696,,-0.4458,,percussive / euphoric / raw,percussive,-0.05474,-0.5547,194695883,,,,,,,-0.4134,,-0.4197,
,0.1607,,1.6052,,,vocal / dreamy / instrumental,vocal,-1.01855,0.24125,140079725,1.1582,0.4179,0.465,,,,,,,0.3924
,,,,,,instrumental / deep / dreamy,instrumental,0.34654,0.10694,192671898,1.1446,1.1002,1.3831,,1.1141,1.3228,,,,1.0223
0.4418,,,,0.6051,,punchy / dark / intense,punchy,0.72762,-0.08139,252071809,,0.1599,,0.3986,0.7278,,,,1.4651,
1.7552,,0.9689,,0.671,0.9721,percussive / piano / euphoric,percussive,0.76001,0.70359,21807889,,,,,,,0.6511,0.6202,,
,2.3772,,1.7858,1.4665,1.3787,raw / vocal / intense,raw,0.98919,0.68347,124204250,,,1.3137,,,,,,,1.2525
,,-0.5316,,,-0.0223,punchy / dark / piano,punchy,-0.3152,-0.70217,69347494,,,,-0.3453,0.1741,,,-0.2302,0.6865,
,,,,,,warm / punchy / dark,warm,0.73392,0.52709,641813,,0.6273,,0.6829,0.7156,,1.2102,,1.1966,0.5748
,,,,,,deep / minimal / atmospheric,deep,-0.8605,-0.76983,76546426,-0.199,0.1803,,,-0.343,0.2582,,-0.3565,,-0.127
0.4465,-0.6778,-0.6893,-0.8737,,,percussive / raw / euphoric,percussive,-0.69932,-0.89327,82349167,-0.8933,,,,-0.8076,,,,,
,0.8494,,1.2197,,0.1412,vocal / raw / instrumental,vocal,-0.69107,-0.26646,239510533,0.1462,0.281,0.4077,,,,,,,
3.0626,-1.1089,0.4591,,-0.4676,-1.4007,percussive / euphoric / intense,percussive,-0.6294,-0.93652,455659,,,,,,,-1.4774,,,
,,,,,0.5465,dreamy / minimal / hypnotic,dreamy,0.19293,0.65235,15244833,1.2411,1.0501,,,,,0.8338,0.9431,,0.8008
0.899,,1.4967,,0.9383,,euphoric / hypnotic / intense,euphoric,0.59082,0.92544,80215631,,,,,0.937,,,1.3793,,0.9243
,,,,,,deep / hypnotic / punchy,deep,-0.09487,0.43052,37031601,0.629,0.4687,,,,0.9649,,0.9146,0.7286,0.696
,1.9873,2.0858,,,,euphoric / raw / dark,euphoric,1.12663,1.59066,183550545,,,,1.4098,1.9844,,1.975,1.4893,,
1.9194,,2.0732,,1.5676,,euphoric / percussive / intense,euphoric,1.32372,1.19537,162798517,,,,0.9172,,,1.2479,,0.8907,
0.7241,0.2285,-0.0746,,-0.1307,,percussive / punchy / raw,percussive,0.21542,-0.26795,195073171,,,,-0.0269,,,,,0.2952,
,,,,,-0.1432,minimal / deep / piano,minimal,-0.82605,-0.93363,129938594,-0.4172,0.0586,-0.2121,,,0.0276,,,-0.1836,
,,,,0.3982,0.4737,punchy / dark / warm,punchy,0.32808,-0.0586,146612048,,,,0.3871,0.6041,,0.4824,,1.4142,
,,,1.2399,,,dreamy / atmospheric / minimal,dreamy,0.40993,1.02074,166794903,1.7609,1.2941,,1.2634,,,,1.1058,,1.4631
,0.6955,,1.2057,,,vocal / instrumental / dreamy,vocal,-0.7123,-0.00675,179364461,0.8147,0.6345,0.8531,,,,,,,0.2028
,,,,,1.4719,piano / dreamy / warm,piano,0.16211,0.96802,154589639,1.4179,1.3131,0.9337,1.0777,,,1.3158,,,
2.0748,,1.7415,,1.5273,2.3234,piano / percussive / euphoric,piano,0.97196,1.50712,16331052,1.684,,,,,,,,,1.6233
0.8641,,,1.5252,,1.0248,vocal / dreamy / piano,vocal,0.3589,1.02717,248019531,1.3766,,1.0137,,,,0.9644,,,
-0.6267,,,,,-0.8754,minimal / dreamy / warm,minimal,-1.19114,-0.8501,158434562,-0.3551,-0.3474,,,,,-0.5527,-0.9926,,
-0.0981,0.0721,-0.6397,-0.4172,,,raw / percussive / vocal,raw,-0.53189,-0.88211,180368914,,,,,-0.5753,,,,-0.5829,
,,,,,,warm / dreamy / dark,warm,-0.36747,-0.0209,135848849,0.23,-0.1643,,,0.09,,0.2491,-0.0776,,0.0031
,,,0.079,,0.0034,minimal / punchy / warm,minimal,-0.24218,-0.16064,118139257,,0.4709,0.0624,,,,0.1714,,0.2171,
1.4939,1.0366,0.91,0.8864,0.4176,,percussive / raw / euphoric,percussive,0.33197,0.65661,247034330,,,,,,,0.7792,,,
0.0464,,-0.135,,,,punchy / hypnotic / percussive,punchy,-0.17111,-0.18005,46372124,,,,,,,-0.0254,0.1385,0.3032,-0.2469
1.5569,,-0.084,0.0657,,0.8801,percussive / piano / vocal,percussive,-0.10463,-0.48256,125060048,-0.0974,,,,,,,,,-0.1088
1.6929,,1.8749,,1.872,1.8393,euphoric / intense / piano,euphoric,1.40514,1.68711,22378055,1.695,,,,,,,,,1.8392
1.3091,,-0.3267,0.2553,-0.5519,-0.5001,percussive / vocal / euphoric,percussive,-0.36194,-1.05982,4079904,,,-0.4777,,,,,,,
0.1668,,-0.3732,,-0.2154,,percussive / dark / intense,percussive,-0.33457,-0.85791,38349367,,,,,-0.2024,-0.3989,,,,-0.3409
,,0.1601,,,,warm / dark / hypnotic,warm,-0.30466,0.32342,135925241,,,,0.1975,0.3213,,0.7805,0.2229,,0.1107
,,,0.8988,,,deep / atmospheric / dark,deep,-0.07077,0.40664,33345586,0.8351,,,,1.1277,1.1899,,1.1257,,1.1753
,,,,,,punchy / hypnotic / deep,punchy,-0.11754,-0.11413,82979075,,,,,0.0924,0.2115,0.0865,0.4417,0.4633,0.0524
,,,,,-0.1795,punchy / piano / deep,punchy,-0.84242,-0.88979,75214148,,-0.6448,,,-0.7031,-0.3203,-0.5819,,0.2715,
0.5082,,,,,,minimal / atmospheric / punchy,minimal,0.28204,-0.13735,12748451,0.5818,1.0365,,,,0.5633,,,0.6447,0.6463
0.8832,-0.0361,-0.5326,,,,percussive / warm / raw,percussive,-0.21696,-0.37718,125469590,,-0.198,,,,,0.3031,,-0.2674,
,,,,,,minimal / deep / dreamy,minimal,-0.35387,0.0895,71468851,0.4508,0.8451,,,,0.4672,0.3458,0.3209,,0.247
0.0422,,,0.1966,,,dreamy / vocal / percussive,dreamy,-0.36756,-0.19752,76623606,0.4739,-0.0364,-0.2044,,,,,,,-0.1123
,-0.3071,,,-0.122,,punchy / dark / intense,punchy,-0.21948,-1.2197,43640144,,,,-0.5746,0.1006,-0.4525,,,1.0283,
,1.0258,,1.6552,,,vocal / raw / instrumental,vocal,-0.72753,-0.42013,53966869,0.1925,-0.0404,0.8536,,0.0769,,,,,
,0.2277,-0.236,0.7657,,,vocal / raw / instrumental,vocal,-0.39276,-0.33659,8402906,,,-0.0969,-0.1797,,,-0.257,,,
0.9451,0.568,0.316,1.3149,0.0097,,vocal / percussive / raw,vocal,0.05617,-0.03651,12897155,,,0.296,,,,,,,
,1.2955,,1.3926,,,vocal / raw / dreamy,vocal,-0.22271,0.39008,82650425,0.8746,0.5955,,0.5775,,,0.611,,,
0.8453,,,-0.7281,,,percussive / dreamy / minimal,percussive,-1.10306,-0.79782,233611986,-0.1826,-0.3639,-0.5184,,,,,-0.7742,,
0.9051,0.2548,0.8567,,,0.6549,percussive / euphoric / warm,percussive,0.20535,0.46301,132324990,,,,,,,0.7742,0.3763,,
,,,0.5159,,,vocal / minimal / dreamy,vocal,-0.42693,-0.00102,106326976,0.3568,0.3696,0.0942,,,0.224,,,,0.1769
0.2847,0.6646,,0.3976,,,raw / vocal / driving,raw,0.00692,-0.32709,239807540,,,-0.0391,0.2964,0.0743,,,,,
,1.0057,,1.2507,,,vocal / dreamy / raw,vocal,-0.3197,0.86932,143698711,1.1727,,,,,,0.9947,0.5395,,0.5507
,,,,,1.3848,piano / dreamy / minimal,piano,0.55904,0.99782,81046555,1.3528,1.2596,,,,,1.1509,1.246,,1.0882
1.4864,,0.4967,,1.1434,,percussive / intense / punchy,percussive,0.90055,0.09302,6607605,,,,,0.6326,,,,0.928,0.5697
,,2.0239,,2.4257,,intense / deep / atmospheric,intense,1.37471,1.46369,178484117,,,,,2.0005,2.3593,,1.9587,,2.1741
0.789,,,0.7937,1.2637,,punchy / driving / intense,punchy,1.26762,0.49303,207424738,,,0.8035,1.4642,,,,,1.5536,
,1.0414,,0.9905,,,raw / vocal / instrumental,raw,0.11614,0.04021,169342932,0.514,,0.8382,0.8317,0.5117,,,,,
1.3323,,-0.2406,,,-0.3612,percussive / euphoric / piano,percussive,-1.20675,-1.33215,39696245,,,,,-1.3383,-1.3134,,,,-1.2838
3.5012,0.0637,1.71,0.3408,0.8884,,percussive / euphoric / intense,percussive,0.73162,0.37622,49527132,,,,,,,,,,0.0639
,,3.5103,,1.8947,,euphoric / warm / atmospheric,euphoric,1.05131,2.64319,145713560,,,,,1.9633,,2.8688,2.4626,,2.5071
,,,,1.5705,,warm / driving / intense,warm,1.27822,1.37356,234260653,,1.5216,,1.6072,,,2.0077,1.4527,1.5127,
,,,,,0.9696,piano / dreamy / minimal,piano,-0.75157,-0.3565,82976561,0.9066,0.8129,0.2592,,,,,0.3948,,0.4313
,,,1.316,,,vocal / dreamy / warm,vocal,0.60169,0.98716,59270314,1.2984,1.0849,,1.0693,,,1.2487,,,1.1004
,,,2.3472,,1.8336,vocal / dreamy / piano,vocal,-0.05469,1.27977,170932854,1.9328,1.5264,,,,,,1.6224,,1.5314
,,,1.4551,1.6829,,dark / driving / warm,dark,1.11315,1.42285,219640776,,,,1.9278,1.9752,,1.7074,,,1.5583
,2.4949,,2.2692,,,raw / vocal / driving,raw,1.04448,1.56775,256757929,,,1.6028,1.6748,1.5522,,1.629,,,
,1.1557,,1.4847,,,vocal / raw / warm,vocal,0.09356,0.67249,72100401,0.8097,0.7362,,,,,0.8383,,,0.6611
,,,,,,dreamy / atmospheric / dark,dreamy,0.66961,1.80538,123886771,2.3468,,,2.0449,2.2343,2.1153,2.1278,,,2.2467
